"TP1_1" "TP1_2" "TP2_1" "TP2_2" "TP3_1" "TP3_2" "TP4_1" "TP4_2"
"gene_16887" 87 170 279 216 185 242 118 204
"gene_16888" 1499 1507 909 812 1248 1551 2130 2071
"gene_16889" 5 8 4 16 0 0 5 0
"gene_16890" 871 1183 1068 784 1086 839 432 672
"gene_16891" 66 96 136 148 164 124 64 126
"gene_16892" 137 132 458 289 256 252 153 136
"gene_16893" 8 3 2 11 0 0 3 7
"gene_16894" 86 71 255 353 179 186 151 247
"gene_16895" 4697 4922 5302 5599 5577 4405 4211 5179
"gene_16896" 196 148 556 462 401 421 444 360
"gene_16897" 195 273 146 118 510 565 71 110
"gene_16898" 1162 1361 1263 1432 1032 2019 1109 838
"gene_16899" 507 348 926 1130 468 373 1256 795
"gene_16900" 292 366 761 995 402 1073 874 910
"gene_16901" 28 12 64 157 21 22 77 77
"gene_16902" 98 107 64 70 133 177 68 70
"gene_16903" 1802 1609 1993 2820 1192 2142 1405 1236
"gene_16904" 16 51 0 1 0 0 6 2
"gene_16905" 2890 3516 5569 4409 3783 3517 4601 4706
"gene_16906" 23 18 35 38 4 5 8 17
"gene_16907" 609 730 556 768 721 545 279 422
"gene_16908" 2476 1858 1931 2283 1510 1678 2094 2224
"gene_16909" 4 6 0 0 2 1 0 0
"gene_16910" 7017 4895 12069 8442 9529 12562 12190 10780
"gene_16911" 1703 1579 1797 1958 1195 1572 1888 2189
"gene_16912" 42 57 88 99 101 76 39 45
"gene_16913" 225 421 393 445 586 497 331 394
"gene_16914" 2980 4018 4315 5029 5477 4466 4782 3482
"gene_16915" 2355 1490 1566 1639 1692 1742 2226 1779
"gene_16916" 4216 5932 5696 5386 5627 5517 6005 6468
"gene_16917" 13477 10925 10497 10224 13073 13381 12378 15520
"gene_16918" 9177 14294 11418 11657 11471 9765 11704 10534
"gene_16919" 0 0 0 0 6 0 3 10
"gene_16920" 6165 6487 7346 7914 9347 8195 6400 6112
"gene_16921" 552 460 967 1370 790 653 818 828
"gene_16922" 2422 2540 2475 2112 2315 1842 2782 3016
"gene_16923" 517 466 131 219 135 100 233 161
"gene_16924" 478 516 783 927 352 430 753 743
"gene_16925" 1173 1380 2191 1376 1953 1682 1562 1625
"gene_16926" 3655 3373 3407 3002 2060 2005 2490 2917
"gene_16927" 1112 1016 1166 1328 468 658 838 800
"gene_16928" 7610 8250 8814 7127 7507 6833 8673 9170
"gene_16929" 247 358 418 245 434 444 345 345
"gene_16930" 1293 1555 1983 1369 1755 1544 2441 2696
"gene_16931" 118 184 79 72 117 119 47 171
"gene_16932" 213 188 169 125 136 227 59 27
"gene_16933" 1238 1718 1428 1191 1186 1386 1976 1548
"gene_16934" 4118 4779 3665 4315 3603 4081 5900 4071
"gene_16935" 1280 1711 865 957 956 533 1562 1125
"gene_16936" 11121 9374 3323 4695 7482 5928 7675 7329
"gene_16937" 3041 3270 2503 2283 2182 2405 2555 2266
"gene_16938" 0 10 27 115 0 7 101 32
"gene_16939" 3135 3095 3262 3208 2801 3545 2213 2232
"gene_16940" 586 737 1079 1472 614 610 818 1031
"gene_16941" 164 146 158 242 592 380 317 295
"gene_16942" 54 42 63 90 62 61 24 40
"gene_16943" 4472 4378 3832 4832 3716 3604 4523 5589
"gene_16944" 4051 3984 4452 3755 4531 4916 4247 3672
"gene_16945" 282 346 613 379 746 435 477 412
"gene_16946" 84 116 118 90 196 190 165 216
"gene_16947" 137 144 476 672 210 313 201 133
"gene_16948" 0 0 41 21 16 13 20 13
"gene_16949" 158 231 206 134 202 222 151 226
"gene_16950" 353 345 353 346 466 484 676 959
"gene_16951" 693 349 460 828 442 350 912 480
"gene_16952" 169 160 144 258 277 216 192 153
"gene_16953" 315 273 394 370 250 342 283 389
"gene_16954" 79 152 179 116 112 161 134 102
"gene_16955" 5635 5783 4122 5364 4921 4016 4785 4233
"gene_16956" 117 200 129 267 503 442 275 221
"gene_16957" 3425 3960 2108 1588 2703 2660 2795 3116
"gene_16958" 1551 1544 2269 2459 2018 1882 1416 2116
"gene_16959" 417 416 575 473 632 410 313 364
"gene_16960" 4818 4301 2788 3312 4973 5327 4277 3461
"gene_16961" 67 92 36 18 111 75 28 13
"gene_16962" 5503 6671 8332 5985 7273 5146 5262 4642
"gene_16963" 0 0 11 14 1 9 5 2
"gene_16964" 9785 13474 7826 9851 8802 10596 10365 11067
"gene_16965" 1599 1799 1476 1334 2133 2083 1375 1742
"gene_16966" 1315 1228 1648 1608 912 960 1366 1161
"gene_16967" 5211 5713 6126 4502 3787 4562 5487 4430
"gene_16968" 53 45 105 164 151 205 26 29
"gene_16969" 324 298 499 301 314 272 509 552
"gene_16970" 409 584 375 500 253 943 415 295
"gene_16971" 729 852 1214 1027 859 737 1207 1078
"gene_16972" 1641 1413 1200 1156 2200 2117 739 950
"gene_16973" 46 14 37 57 19 50 196 83
"gene_16974" 456 438 1171 1381 549 443 643 734
"gene_16975" 97 104 139 167 171 92 18 52
"gene_16976" 1016 1267 612 950 846 669 771 553
"gene_16977" 365 125 186 114 224 215 141 159
"gene_16978" 173 96 346 227 239 247 271 160
"gene_16979" 12954 14640 9809 13925 7867 6733 10616 9280
"gene_16980" 578 350 398 494 670 489 326 233
"gene_16981" 5018 6391 7180 5869 4470 5807 8039 9310
"gene_16982" 34 30 46 63 27 24 122 129
"gene_16983" 178 173 209 291 229 144 85 78
"gene_16984" 2560 2965 2800 2921 2744 2762 2317 2364
"gene_16985" 673 908 954 1126 909 1315 1175 1457
"gene_16986" 248 331 101 89 565 422 437 338
"gene_16987" 246 321 225 247 374 306 272 181
"gene_16988" 3113 2519 2746 2864 3822 2847 3353 3210
"gene_16989" 2398 1546 2091 1796 2010 1997 947 1291
"gene_16990" 1196 1558 900 1171 939 1034 2259 1941
"gene_16991" 81 147 455 266 324 396 154 213
"gene_16992" 11146 9513 8415 13740 13114 10054 8485 8999
"gene_16993" 2848 2892 4225 2680 2600 2429 2834 3015
"gene_16994" 241 304 337 456 240 358 436 342
"gene_16995" 3092 2867 3699 2959 2894 2946 4404 4915
"gene_16996" 25 16 0 0 14 10 0 0
"gene_16997" 2007 1879 2902 2645 1502 2194 522 382
"gene_16998" 1978 1633 1252 1140 1656 1538 1591 1479
"gene_16999" 3972 3576 6221 5504 4469 4521 3094 3199
"gene_17000" 9 59 122 98 41 87 76 38
"gene_17001" 1693 1914 3362 2109 2979 3209 2717 2416
"gene_17002" 6450 9576 10032 7211 4470 4090 7453 6007
"gene_17003" 1466 1635 908 1001 1858 1520 1329 1038
"gene_17004" 554 482 534 624 759 554 501 462
"gene_17005" 323 337 772 729 685 616 520 424
"gene_17006" 1868 1757 2442 2824 2166 3226 2712 3629
"gene_17007" 684 635 365 358 406 389 290 264
"gene_17008" 1873 1849 1564 2188 2269 2094 1902 1881
"gene_17009" 776 773 773 841 889 1092 1073 814
"gene_17010" 1436 1214 1338 1302 1506 2513 1507 2026
"gene_17011" 261 237 172 195 356 318 365 248
"gene_17012" 1984 2557 3376 3105 3353 2858 2355 1993
"gene_17013" 55 100 27 29 32 20 25 26
"gene_17014" 59 46 169 159 96 108 179 153
"gene_17015" 216 293 324 244 139 103 520 634
"gene_17016" 849 599 715 700 672 658 632 654
"gene_17017" 2581 2609 2393 2295 2047 1915 1516 2471
"gene_17018" 3632 4146 4863 4533 4205 3209 3427 3871
"gene_17019" 1229 1434 763 956 1219 891 962 1278
"gene_17020" 862 980 904 944 796 957 574 579
"gene_17021" 726 644 328 298 524 684 786 760
"gene_17022" 2051 1896 1803 1781 582 1222 2429 2139
"gene_17023" 179 97 124 54 111 153 88 116
"gene_17024" 3 0 21 16 18 4 5 0
"gene_17025" 691 915 383 470 387 531 800 933
"gene_17026" 1011 711 1234 1788 656 667 1176 1497
"gene_17027" 0 0 61 97 16 11 2 10
"gene_17028" 3432 3777 1965 1919 1609 1843 2567 2447
"gene_17029" 5976 5960 5297 5016 5847 6502 3959 4124
"gene_17030" 874 729 776 702 816 1087 758 808
"gene_17031" 1125 1077 2360 1759 766 734 1348 1710
"gene_17032" 265 165 353 357 170 310 156 124
"gene_17033" 84 272 145 195 314 423 489 479
"gene_17034" 4563 4254 3142 3159 5570 5244 3672 3185
"gene_17035" 0 0 0 0 32 10 0 0
"gene_17036" 1222 1216 1684 1591 772 749 864 1402
"gene_17037" 351 488 470 1006 505 515 840 886
"gene_17038" 64 61 120 131 44 57 265 263
"gene_17039" 255 299 897 745 530 616 750 770
"gene_17040" 1995 1441 1569 1810 2070 1777 2576 2998
"gene_17041" 9029 7739 7316 8709 7351 7415 7456 8572
"gene_17042" 11476 9669 15607 14988 11534 12017 9284 7834
"gene_17043" 7 3 7 22 0 0 11 0
"gene_17044" 218 122 21 42 496 342 150 247
"gene_17045" 0 0 0 10 0 0 1 8
"gene_17046" 4759 4129 3506 4031 4060 4387 2847 3426
"gene_17047" 6656 6209 6089 5627 2257 4786 4323 5166
"gene_17048" 100 86 282 157 86 81 185 184
"gene_17049" 1011 1298 1261 1257 1123 1051 1862 1038
"gene_17050" 8007 8275 7627 7574 9124 7810 11478 10044
"gene_17051" 2 6 8 5 0 4 13 32
"gene_17052" 1651 1912 2522 2768 2469 2774 2975 3685
"gene_17053" 7 11 3 2 20 1 0 0
"gene_17054" 19 20 95 38 74 70 97 66
"gene_17055" 2051 2418 1683 2016 1228 1903 2119 2067
"gene_17056" 645 644 299 199 277 285 137 127
"gene_17057" 707 662 1005 1418 1222 1100 791 724
"gene_17058" 470 439 1560 1019 1403 677 761 390
"gene_17059" 856 727 920 776 436 541 479 396
"gene_17060" 0 0 12 16 0 0 13 34
"gene_17061" 0 0 0 0 0 0 12 4
"gene_17062" 460 407 409 285 522 620 545 527
"gene_17063" 19 16 18 13 41 42 10 26
"gene_17064" 45 34 207 184 177 157 151 172
"gene_17065" 15 12 37 39 17 15 38 13
"gene_17066" 27 19 25 37 0 0 18 16
"gene_17067" 8 20 1 10 0 0 4 3
"gene_17068" 1071 1088 1039 733 902 710 673 471
"gene_17069" 142 189 203 150 278 426 355 405
"gene_17070" 11 11 107 41 10 3 39 52
"gene_17071" 3139 3200 4306 4350 5004 3456 4308 4100
"gene_17072" 1877 3586 3076 2744 3592 3849 3014 2627
"gene_17073" 3783 4925 3194 4028 3541 4173 4185 3392
"gene_17074" 43 15 57 75 34 38 22 85
"gene_17075" 64 36 79 77 126 105 52 65
"gene_17076" 10 4 0 0 0 0 5 22
"gene_17077" 7281 6352 10398 9319 8773 8434 5905 6227
"gene_17078" 3643 3925 5106 4299 3641 4232 5322 4687
"gene_17079" 244 363 115 315 111 221 188 160
"gene_17080" 655 699 233 560 127 155 111 220
"gene_17081" 3571 2019 1474 1487 2092 1311 1220 1504
"gene_17082" 4971 6467 3532 2682 5381 3908 4535 3452
"gene_17083" 1215 1320 1153 1256 1530 1545 1954 1554
"gene_17084" 73 26 27 44 14 10 0 0
"gene_17085" 1237 1167 829 1058 1037 796 1504 1538
"gene_17086" 2563 2119 3960 3850 2759 2945 1956 2625
"gene_17087" 3420 2933 3904 4271 4651 3498 3779 4424
"gene_17088" 23 18 37 21 33 20 2 6
"gene_17089" 3 8 19 35 20 53 3 0
"gene_17090" 30 13 4 7 8 2 0 0
"gene_17091" 2472 2405 2545 1804 2809 3297 2463 2640
"gene_17092" 1426 1055 899 655 701 764 929 556
"gene_17093" 796 556 501 519 1333 1480 1157 738
"gene_17094" 1520 1933 4107 3827 3433 3031 3251 3230
"gene_17095" 105 128 52 68 114 143 174 148
"gene_17096" 721 865 481 697 1750 1367 1461 1932
"gene_17097" 2898 2810 3776 3959 4140 4011 2444 3046
"gene_17098" 13293 12173 7415 8426 9740 9257 6731 7034
"gene_17099" 1280 1337 973 1264 1700 1530 1837 1454
"gene_17100" 719 729 522 503 726 870 745 906
"gene_17101" 261 279 240 124 81 210 164 141
"gene_17102" 4953 4829 5227 6372 6660 7019 5290 7104
"gene_17103" 16 36 0 0 3 17 0 21
"gene_17104" 360 519 465 448 144 253 339 245
"gene_17105" 35 28 52 34 23 16 81 71
"gene_17106" 523 631 486 416 732 811 1259 710
"gene_17107" 158 320 131 150 364 329 214 186
"gene_17108" 274 326 410 318 505 445 1137 896
"gene_17109" 1151 612 593 416 433 454 854 1163
"gene_17110" 2424 2358 3105 1787 2274 2074 2578 2471
"gene_17111" 221 168 51 69 58 139 90 99
"gene_17112" 2345 2982 3606 3456 3192 3710 2911 2395
"gene_17113" 1790 1064 1460 1406 1115 1408 2220 1506
"gene_17114" 3601 3260 2637 2867 3860 3318 3319 3100
"gene_17115" 7383 8400 9692 10474 10982 9105 10538 10236
"gene_17116" 484 548 399 365 727 643 358 503
"gene_17117" 1598 1568 2938 2581 3384 2288 4210 4160
"gene_17118" 1771 1351 4189 3788 2101 2418 2712 2574
"gene_17119" 379 242 92 104 70 28 35 67
"gene_17120" 7487 6075 6719 6696 7065 6266 4822 6504
"gene_17121" 218 387 46 147 415 331 132 92
"gene_17122" 2729 3030 3140 2984 2244 3348 2764 3413
"gene_17123" 2769 2147 2356 2452 2314 2439 2292 1916
"gene_17124" 75 71 86 111 53 66 23 25
"gene_17125" 269 330 340 364 543 467 345 438
"gene_17126" 259 283 81 80 12 10 89 122
"gene_17127" 3786 4413 5610 4928 6639 6603 3875 4844
"gene_17128" 2448 2071 2187 2544 1697 1882 2857 2104
"gene_17129" 56 45 9 6 15 6 20 20
"gene_17130" 587 421 242 287 774 628 374 437
"gene_17131" 153 232 114 112 43 117 44 97
"gene_17132" 6 20 0 0 0 1 2 1
"gene_17133" 553 575 734 763 734 664 801 831
"gene_17134" 5646 4541 4579 4372 4857 4149 4515 4016
"gene_17135" 898 1148 744 893 490 467 1074 849
"gene_17136" 44 38 32 15 139 113 101 65
"gene_17137" 6401 7553 9260 7530 7215 5445 6962 5989
"gene_17138" 653 402 964 663 747 727 758 743
"gene_17139" 179 290 194 161 56 53 133 140
"gene_17140" 5870 6344 4199 4240 3224 3693 4004 3061
"gene_17141" 335 284 551 654 231 592 1274 1351
"gene_17142" 642 676 911 881 837 960 502 436
"gene_17143" 1526 2025 1308 1730 1773 2627 1362 1925
"gene_17144" 439 499 1028 843 502 653 783 825
"gene_17145" 36 32 0 0 38 34 0 0
"gene_17146" 207 220 170 183 82 73 196 65
"gene_17147" 85 19 236 161 104 161 71 155
"gene_17148" 49 44 119 113 91 117 120 137
"gene_17149" 461 475 642 545 646 642 462 473
"gene_17150" 240 175 143 161 342 341 394 493
"gene_17151" 910 1376 1563 1297 2126 1531 903 1379
"gene_17152" 3114 3214 2936 3610 3082 3956 3930 3804
"gene_17153" 1227 1277 901 966 1148 1164 1022 759
"gene_17154" 5050 4120 2473 3456 4396 3578 3753 4838
"gene_17155" 878 1150 612 834 707 643 464 571
"gene_17156" 1659 1921 1517 1747 2098 1988 1927 1543
"gene_17157" 67 101 52 130 54 29 22 29
"gene_17158" 7127 5025 6389 6040 6058 6926 6560 7289
"gene_17159" 324 538 459 603 442 465 382 760
"gene_17160" 145 352 244 319 425 340 418 205
"gene_17161" 3353 3536 2725 3026 2537 1979 3796 2982
"gene_17162" 40 37 85 45 32 56 20 31
"gene_17163" 7044 8347 6051 4443 7789 6295 6302 5891
"gene_17164" 1616 1553 1883 1527 1287 1544 2067 2003
"gene_17165" 154 133 188 203 193 343 422 399
"gene_17166" 1573 2266 1372 1471 1290 1003 1792 1642
"gene_17167" 17 15 6 10 5 8 0 0
"gene_17168" 2 14 12 8 1 3 4 5
"gene_17169" 2464 2980 2871 4255 2332 3036 3686 3119
"gene_17170" 129 135 242 188 131 128 116 154
"gene_17171" 3041 4206 1500 1776 1929 2466 3247 3185
"gene_17172" 164 158 151 206 108 113 190 129
"gene_17173" 4318 3777 4869 4175 3437 5453 3632 3577
"gene_17174" 2920 2568 3486 2962 2386 2433 3047 3497
"gene_17175" 1081 1062 1291 1216 1078 1095 904 1696
"gene_17176" 1013 1262 1528 1691 1175 1241 1478 1367
"gene_17177" 6278 5747 3187 3226 4288 4640 6657 8679
"gene_17178" 853 553 739 487 481 375 551 504
"gene_17179" 27 34 64 28 89 158 67 114
"gene_17180" 818 584 654 601 815 721 382 359
"gene_17181" 203 177 297 272 288 204 378 357
"gene_17182" 3173 3199 4293 5663 4139 4343 4915 3706
"gene_17183" 81 128 12 13 46 72 41 96
"gene_17184" 38 52 41 17 6 16 18 16
"gene_17185" 362 336 238 204 109 136 310 369
"gene_17186" 3809 4947 4614 3928 8000 6676 3723 4666
"gene_17187" 13346 13435 10655 8847 7071 11305 9143 11437
"gene_17188" 481 427 274 204 156 276 282 309
"gene_17189" 8411 8402 6179 5933 7099 9521 5324 6354
"gene_17190" 908 1009 597 563 1739 1925 1430 1193
"gene_17191" 34 17 38 13 27 51 184 63
"gene_17192" 110 83 42 51 26 13 85 175
"gene_17193" 506 733 463 307 219 205 466 211
"gene_17194" 501 336 634 663 929 735 564 566
"gene_17195" 384 341 406 325 414 425 190 267
"gene_17196" 583 660 539 573 580 585 1036 1276
"gene_17197" 430 514 297 298 298 365 380 440
"gene_17198" 514 424 347 474 517 394 765 601
"gene_17199" 863 941 946 592 507 606 761 523
"gene_17200" 9 4 40 35 31 18 51 86
"gene_17201" 1724 1784 2014 1520 1941 1540 1334 1437
"gene_17202" 2701 3706 2899 3589 3223 3423 3373 5273
"gene_17203" 7371 6586 6503 6094 9646 8641 5800 7364
"gene_17204" 6674 4660 4940 5476 6295 7972 8197 7760
"gene_17205" 0 7 0 0 0 0 0 0
"gene_17206" 2556 3409 2530 2898 1744 1789 2776 2864
"gene_17207" 60 146 64 81 88 54 19 19
"gene_17208" 263 130 351 329 171 151 213 305
"gene_17209" 286 160 147 164 135 101 226 295
"gene_17210" 304 221 123 253 92 211 315 276
"gene_17211" 6 0 6 5 20 39 38 31
"gene_17212" 9108 7821 7607 7826 5862 6712 5012 6263
"gene_17213" 109 91 8 27 68 24 85 92
"gene_17214" 507 536 1054 748 696 528 874 984
"gene_17215" 13881 16901 15317 13427 9388 10754 13471 16467
"gene_17216" 823 938 182 685 731 428 1436 1708
"gene_17217" 28438 34943 15863 16349 22475 17728 25624 20128
"gene_17218" 5906 6006 8540 9676 4009 4253 4466 4852
"gene_17219" 621 698 415 332 348 335 542 558
"gene_17220" 1257 1454 2318 1881 1373 1246 1264 677
"gene_17221" 2664 3011 2731 3849 2123 2502 1976 2323
"gene_17222" 1837 1264 1056 1212 456 604 1470 1314
"gene_17223" 1064 1252 947 840 1152 1416 976 1245
"gene_17224" 92 33 260 247 202 231 207 280
"gene_17225" 2181 2141 2442 3256 2612 2949 2241 2749
"gene_17226" 184 213 194 251 128 71 140 72
"gene_17227" 20 25 23 33 12 3 9 23
"gene_17228" 20 28 0 0 2 4 28 14
"gene_17229" 19463 16915 22589 20831 21274 20444 23494 24446
"gene_17230" 15208 16167 15663 18620 22512 18490 14572 14416
"gene_17231" 644 417 890 345 832 654 987 938
"gene_17232" 3754 5734 4672 4857 5043 4369 3433 3829
"gene_17233" 8111 7140 6850 5274 5646 4633 6821 7445
"gene_17234" 1509 1864 1204 1454 2574 2633 1148 1508
"gene_17235" 2 12 0 0 0 0 3 3
"gene_17236" 14 10 0 0 0 0 14 6
"gene_17237" 4491 3990 6515 6555 4355 4106 5307 4945
"gene_17238" 85 95 157 138 187 347 244 221
"gene_17239" 984 957 1024 892 464 1165 792 686
"gene_17240" 379 406 190 299 272 336 458 318
"gene_17241" 794 680 783 461 531 758 827 647
"gene_17242" 0 0 10 12 0 0 0 0
"gene_17243" 2383 2141 2971 3671 2516 2757 3250 2891
"gene_17244" 1574 973 1154 1355 1078 1232 1172 1149
"gene_17245" 0 0 1 3 4 16 0 0
"gene_17246" 363 419 372 347 229 256 537 556
"gene_17247" 7399 9532 9223 8272 10526 11098 6328 7352
"gene_17248" 4493 4345 3856 4202 3880 3279 3878 2866
"gene_17249" 6614 5224 6172 6531 7808 6673 5712 6131
"gene_17250" 714 807 543 302 1252 1532 734 558
"gene_17251" 8496 8956 5265 6686 14285 12569 8239 7864
"gene_17252" 498 639 617 748 636 760 743 543
"gene_17253" 2312 1880 2008 5105 4852 4094 2629 2984
"gene_17254" 24 23 42 12 41 20 42 73
"gene_17255" 3695 3680 3974 3398 3197 4115 4508 4560
"gene_17256" 507 699 741 503 959 1009 615 875
"gene_17257" 669 378 1388 834 1193 1028 1101 1041
"gene_17258" 60 79 212 235 129 157 129 81
"gene_17259" 215 222 28 42 68 94 119 80
"gene_17260" 1887 1943 1284 1437 1466 1450 1300 1322
"gene_17261" 0 0 2 1 1 2 0 0
"gene_17262" 314 158 331 230 90 333 157 116
"gene_17263" 68 36 24 15 12 46 8 4
"gene_17264" 635 728 499 553 771 977 853 810
"gene_17265" 0 0 31 29 20 22 11 17
"gene_17266" 87 107 109 102 57 77 96 88
"gene_17267" 1346 1697 1698 1253 1962 1953 918 1234
"gene_17268" 83 112 115 176 269 198 99 105
"gene_17269" 693 655 811 779 483 622 641 443
"gene_17270" 1860 1566 1384 1659 2595 1874 1323 1361
"gene_17271" 295 532 762 846 833 1365 556 646
"gene_17272" 394 438 259 447 1281 1089 1135 666
"gene_17273" 8361 8335 9686 9596 9410 6600 9120 7929
"gene_17274" 2792 2625 2599 2490 1250 1424 3468 3659
"gene_17275" 60 94 97 94 78 99 42 47
"gene_17276" 3172 3007 2836 2238 2086 2011 2354 2211
"gene_17277" 3797 2862 5671 5613 6634 6629 5803 4447
"gene_17278" 1152 873 1155 1269 1076 1097 1494 815
"gene_17279" 182 213 227 254 128 136 210 181
"gene_17280" 2384 2476 2184 2024 2390 2565 2729 3509
"gene_17281" 21 10 14 27 8 8 48 28
"gene_17282" 408 398 461 504 124 223 322 334
"gene_17283" 217 550 629 529 283 366 515 427
"gene_17284" 2115 3135 1554 3494 2782 2240 4337 2746
"gene_17285" 762 1260 1573 992 730 976 822 680
"gene_17286" 193 385 163 177 249 298 147 200
"gene_17287" 2695 2364 4778 5265 3298 2085 2013 2005
"gene_17288" 3976 4903 5315 5336 4370 4502 5342 4269
"gene_17289" 3652 5544 3088 4288 4648 3975 3388 4091
"gene_17290" 1592 1583 2073 2293 1189 1035 1844 1841
"gene_17291" 435 796 915 854 138 174 602 600
"gene_17292" 1222 1054 1041 1208 1405 1140 391 522
"gene_17293" 3825 3181 6626 4219 6594 5029 5240 4834
"gene_17294" 2065 2004 1319 1305 1274 1242 2362 2303
"gene_17295" 964 1111 995 1689 637 1028 756 706
"gene_17296" 2524 2143 2572 2235 2437 2449 1849 1806
"gene_17297" 108 132 68 75 161 112 181 68
"gene_17298" 431 445 364 920 582 545 374 415
"gene_17299" 2587 2386 2437 2894 1877 1622 3605 3230
"gene_17300" 1134 1215 322 323 727 999 768 610
"gene_17301" 171 156 42 144 136 92 172 119
"gene_17302" 562 557 1114 761 786 668 771 937
"gene_17303" 327 538 239 427 300 320 185 416
"gene_17304" 4676 6267 2270 2330 1896 1856 2472 2582
"gene_17305" 209 107 152 92 126 103 100 161
"gene_17306" 3087 2368 4623 5055 3365 2944 3040 3395
"gene_17307" 432 344 358 436 439 334 521 491
"gene_17308" 12679 13877 15088 14579 18126 15200 17100 16403
"gene_17309" 0 0 15 56 6 14 41 87
"gene_17310" 1845 1324 1596 1659 1811 1637 1041 854
"gene_17311" 3459 3777 6421 7265 4545 9147 6298 6765
"gene_17312" 1552 1464 1317 1305 670 656 825 953
"gene_17313" 1356 1527 1392 1258 1547 1434 2220 1805
"gene_17314" 5383 4386 6477 6401 7243 7048 4288 5766
"gene_17315" 2627 1947 1584 1687 1218 1754 1982 1759
"gene_17316" 4059 4421 2917 3410 3802 3338 4182 4596
"gene_17317" 18 27 15 11 34 62 44 20
"gene_17318" 3084 2574 1732 1556 1855 1742 1812 1654
"gene_17319" 28 68 52 39 21 30 40 83
"gene_17320" 452 310 323 234 341 212 543 379
"gene_17321" 128 52 137 98 259 243 106 85
"gene_17322" 11 9 26 33 0 0 64 78
"gene_17323" 1321 1965 1450 1344 1946 2224 1934 2995
"gene_17324" 291 249 265 320 173 130 241 180
"gene_17325" 58 97 30 14 46 39 7 14
"gene_17326" 10024 8562 11459 10181 12034 9086 8820 9105
"gene_17327" 97 135 30 32 42 28 152 146
"gene_17328" 24 19 0 0 2 2 4 22
"gene_17329" 58 87 185 155 494 260 301 209
"gene_17330" 75 83 44 129 113 67 159 92
"gene_17331" 1835 1415 2152 2722 1823 2744 2751 3805
"gene_17332" 5134 5736 3498 5510 5058 4818 5500 5828
"gene_17333" 209 186 290 154 65 162 189 176
"gene_17334" 0 0 4 1 5 12 1 3
"gene_17335" 2354 3056 1876 3216 4429 3960 2893 3770
"gene_17336" 5088 4493 5415 4421 4590 6364 7030 4427
"gene_17337" 31 34 18 31 22 7 25 24
"gene_17338" 84 104 90 164 211 142 19 49
"gene_17339" 85 138 157 185 226 184 74 59
"gene_17340" 5126 5926 5621 6530 5200 7474 6551 5915
"gene_17341" 746 707 652 593 724 882 1034 754
"gene_17342" 1084 1284 1704 2223 1771 1498 1542 1417
"gene_17343" 7 12 24 14 36 11 11 40
"gene_17344" 0 6 12 5 11 13 15 7
"gene_17345" 1110 639 622 641 1388 1315 658 1260
"gene_17346" 660 517 432 433 474 920 891 682
"gene_17347" 1702 1855 1354 2118 2269 2207 2048 2412
"gene_17348" 6737 7059 11431 9697 8702 9467 7955 7897
"gene_17349" 473 443 457 399 1327 1367 1577 930
"gene_17350" 226 177 212 190 229 234 77 56
"gene_17351" 542 568 404 335 302 360 348 343
"gene_17352" 3880 3278 2993 2639 3325 2458 5288 3354
"gene_17353" 1178 1255 877 702 1012 1373 484 404
"gene_17354" 549 496 437 511 133 158 371 629
"gene_17355" 2513 2475 4271 2249 2157 2638 2312 3119
"gene_17356" 390 277 339 327 639 593 762 719
"gene_17357" 390 346 325 602 464 412 409 180
"gene_17358" 123 61 141 116 219 342 139 102
"gene_17359" 126 171 226 200 381 278 217 366
"gene_17360" 5526 5327 4920 4837 3620 4820 3133 3268
"gene_17361" 5628 4939 9165 8305 7914 9351 7451 8433
"gene_17362" 0 0 0 0 0 3 0 0
"gene_17363" 424 391 581 516 797 762 648 1030
"gene_17364" 565 623 538 611 1053 821 364 293
"gene_17365" 766 659 876 880 1107 860 856 1117
"gene_17366" 3487 3057 4666 5182 2951 3210 5236 4008
"gene_17367" 5644 6400 4741 5134 7566 4516 5550 6781
"gene_17368" 0 0 3 2 2 2 6 7
"gene_17369" 162 164 121 88 78 74 47 37
"gene_17370" 89 141 112 185 76 97 39 16
"gene_17371" 21 7 8 0 8 4 58 71
"gene_17372" 3754 3782 5591 4893 2227 2682 3136 3923
"gene_17373" 1360 1262 2117 2300 1224 1246 1872 1894
"gene_17374" 1058 940 892 839 758 999 1273 1366
"gene_17375" 10 17 16 27 11 12 7 44
"gene_17376" 37 10 52 50 66 36 13 6
"gene_17377" 0 0 0 0 2 1 3 4
"gene_17378" 78 69 384 307 84 92 34 88
"gene_17379" 5252 4997 6265 7022 7722 7951 4837 5087
"gene_17380" 376 555 359 249 331 392 189 250
"gene_17381" 389 422 578 633 510 584 643 641
"gene_17382" 111 315 156 414 182 250 58 172
"gene_17383" 22479 14193 9101 10561 16807 20074 18213 19758
"gene_17384" 168 222 308 398 364 568 424 428
"gene_17385" 6170 5004 7331 5337 5161 5295 8138 7348
"gene_17386" 344 428 209 139 258 187 65 101
"gene_17387" 1535 1108 1217 1156 1084 1039 1160 1415
"gene_17388" 1152 1250 369 369 818 640 776 416
"gene_17389" 4002 3636 5065 4290 5649 4731 4402 5137
"gene_17390" 5890 5672 4854 7238 8550 8439 4521 5350
"gene_17391" 4887 3738 2517 3653 3556 3632 3019 3210
"gene_17392" 17 18 61 52 25 13 106 62
"gene_17393" 102 55 47 84 15 20 9 6
